Wort;Verboten1;Verboten2;Verboten3;Verboten4
Avatar;Film;Blau;Pandora;James Cameron
Titanic;Film;Schiff;Eisberg;Leonardo DiCaprio
Herr der Ringe;Film;Ring;Hobbit;Mittelerde
Shrek;Film;Ogre;Esel;Prinzessin
Frozen;Film;Elsa;Eis;Schnee
Transformers;Film;Roboter;Auto;Explosionen
Spiderman;Film;Spider;Superheld;Netz
Batman;Film;Superheld;Maske;Dunkelheit
Iron Man;Film;Superheld;Rüstung;Stark
Jaws;Film;Hai;Wasser;Spielberg
E.T.;Film;Außerirdischer;Telefon;Heimat
Jurassic Park;Film;Dinosaurier;Park;DNA
Matrix;Film;Realität;Pillen;Rote Pille
Inception;Film;Traum;Leonardo DiCaprio;Spinning
Interstellar;Film;Weltall;Wurmloch;Zeit
The Dark Knight;Film;Batman;Joker;Gotham
Avengers;Film;Superhelden;Team;Thanos
Toy Story;Film;Spielzeug;Woody;Buzz
Finding Nemo;Film;Fisch;Meer;Vater
Lion King;Film;Löwe;Afrika;Kreis des Lebens
Aladdin;Film;Lampe;Wünsche;Dschinn
Cinderella;Film;Schuh;Prinz;Mitternacht
Snow White;Film;Zwerge;Apfel;Spiegel
The Little Mermaid;Film;Meer;Meerjungfrau;Ursula
Beauty and the Beast;Film;Rose;Fluch;Liebe
Mulan;Film;China;Krieg;Verkleidung
Pinocchio;Film;Holz;Nase;Gewissen
The Jungle Book;Film;Wald;Tier;Baloo
Tarzan;Film;Dschungel;Affe;Mensch
Fantasia;Film;Klassische Musik;Animation;Zauberer
