Wort;Verboten1;Verboten2;Verboten3;Verboten4
Berlin;Hauptstadt;Deutschland;Mauer;Fluss
Paris;Hauptstadt;Frankreich;Liebe;Eiffelturm
London;Hauptstadt;England;Big Ben;Themse
Rom;Hauptstadt;Italien;Kolosseum;Antik
Madrid;Hauptstadt;Spanien;Prado;Museum
Amsterdam;Niederlande;Kanäle;Fahrrad;Anne Frank
Wien;Österreich;Musik;Waltz;Donau
Prag;Tschechien;Burg;Karlsbrücke;Molda
Athen;Griechenland;Akropolis;Antik;Philosophie
Istanbul;Türkei;Bosporus;Hagia Sophia;Brücke
Kairo;Ägypten;Nil;Pyramide;Sphinx
Sydney;Australien;Oper;Hafen;Süd
Toronto;Kanada;CN Tower;Niagarafälle;Große Seen
New York;USA;Big Apple;Hochhäuser;Manhattan
Los Angeles;USA;Hollywood;Sonne;Strand
Moskau;Russland;Hauptstadt;Roter Platz;Kreml
Peking;China;Große Mauer;Verbotene Stadt;Drache
Tokyo;Japan;Anime;Elektrisch;Meridian
Singapur;Stadt-Land;Löwe;Hafen;Multikulti
Dubai;Vereinigte Emirate;Gold;Wüste;Luxus
