Wort;Verboten1;Verboten2;Verboten3;Verboten4
Julius Caesar;Römisch;Imperium;Ides of March;Antik
Napoleon;Französisch;Kaiser;Krieg;Klein
Adolf Hitler;Deutsch;Nazi;Weltkrieg;Diktator
Winston Churchill;Britisch;Premierminister;Zigarre;Kriegsführer
Franklin D. Roosevelt;Amerikanisch;Präsident;New Deal;Krieg
Mahatma Gandhi;Indisch;Friedlich;Unabhängigkeit;Entsagung
Martin Luther King;Amerikanisch;Aktivist;Traum;Bürgerrechte
Nelson Mandela;Südafrikaner;Gefängnis;Apartheid;Präsident
Alexander der Große;Makedonier;Eroberer;Antik;Weltkönig
Kleopatra;Ägypten;Königin;Schön;Marcus Antonius
Joan of Arc;Französisch;Jungfrau;Krieger;Heilige
Leonardo da Vinci;Künstler;Erfinder;Renaissance;Polymath
Michelangelo;Künstler;Bildhauer;Renaissance;Sixtine
Christopher Columbus;Entdecker;Amerika;1492;Seefahrer
Galileo Galilei;Wissenschaftler;Teleskop;Sterne;Italienisch
Louis XIV;Französisch;Versailles;König;Barock
Heinrich VIII;Englisch;König;Ehen;Tudor
Peter der Große;Russisch;Zar;Reform;St. Petersburg
Maria Theresia;Österreichisch;Kaiserin;Pragmatische Sanktion;Tochter
Friedrich der Große;Preußisch;König;Kriegführer;Flöte
