Wort;Verboten1;Verboten2;Verboten3;Verboten4
Beatles;Band;Britisch;60er;Liverpool
Elvis;Sänger;Rockmusik;Hüfte;König
Michael Jackson;Sänger;Tanzen;Weiße Handschuhe;King of Pop
Beyoncé;Sängerin;Diva;Halo;Single Ladies
Taylor Swift;Sängerin;Gitarre;Love Story;Swiftie
Lady Gaga;Sängerin;Exzentrisch;Poker Face;Sternenmode
Drake;Rapper;Toronto;Kanadisch;God's Plan
Eminem;Rapper;Slim Shady;Schnell;Detroit
Shakira;Sängerin;Spanisch;Bauch;Hips
The Rolling Stones;Band;Britisch;Rock;Keith Richards
Pink Floyd;Band;Progressive;Wall;Dark Side
Led Zeppelin;Band;Rock;Britisch;Mystisch
Queen;Band;Freddie Mercury;Rock;Bohemian
David Bowie;Sänger;Chamäleon;Glam Rock;Ziggy
Madonna;Sängerin;Material Girl;80er;Provokant
Prince;Sänger;Violett;Multiinstrumentalist;Künstler
Mariah Carey;Sängerin;Höhe;Whistle Note;Weihnacht
Britney Spears;Sängerin;Tanzen;Schule;Bling
Justin Bieber;Sänger;Teen;Belieber;YouTube
The Weeknd;Sänger;Nacht;Dunkel;Kanadisch
Rihanna;Sängerin;Barbados;Umbrella;Entrepreneur
Katy Perry;Sängerin;Pop;Feuerwerk;Fireworks
Ariana Grande;Sängerin;Pop;Höhe;Ponytail
Billie Eilish;Sängerin;Dunkelheit;Whisper;Gen Z
Post Malone;Rapper;Trap;Tattoos;Depression
Lil Nas X;Rapper;Kontrovers;Genre-Blend;TikTok
Travis Scott;Rapper;Houston;Astroworld;Aggressive
Juice Wrld;Rapper;Emo Rap;Depressed;Tragödie
XXXTentacion;Rapper;Emo Rap;Kontrovers;Tragödie
