Wort;Verboten1;Verboten2;Verboten3;Verboten4
Baum;Pflanze;Holz;Blätter;Wurzeln
Blume;Pflanze;Farbe;Duft;Biene
Fluss;Wasser;Fließend;Meer;Fische
Berg;Hoch;Schnee;Stein;Wanderung
Meer;Wasser;Salz;Wellen;Fische
Strand;Sand;Meer;Sonne;Urlaub
Wald;Bäume;Grün;Tiere;Wanderung
See;Wasser;Ruhe;Fische;Boot
Schnee;Weiß;Kalt;Winter;Flocken
Regen;Wasser;Wolken;Nass;Wetter
Wind;Luft;Bewegung;Getreide;Drache
Feuer;Warm;Rot;Flamme;Brennen
Stein;Fest;Grau;Geröll;Berg
Blitz;Elektrizität;Laut;Himmel;Donner
Blatt;Baum;Grün;Papier;Herbst
Wurzel;Baum;Graben;Erde;Nährstoff
Gras;Grün;Rasen;Wiese;Tier
Kaktus;Stachel;Wüste;Grün;Trocken
Koralle;Meer;Rot;Stein;Fische
Pilz;Pflanze;Spore;Giftig;Wald
