Wort;Verboten1;Verboten2;Verboten3;Verboten4
Fußball;Sport;Ball;Tor;Elfmeter
Tennis;Sport;Schläger;Rasen;Wimbledon
Basketball;Sport;Korb;Ball;NBA
Schwimmen;Sport;Wasser;Bahn;Pool
Radfahren;Sport;Fahrrad;Pedale;Helm
Eislaufen;Sport;Eis;Schlittschuhe;Pirouette
Skifahren;Sport;Berg;Schnee;Skier
Springen;Leichtathletik;Höhe;Weite;Anlauf
Boxen;Sport;Handschuhe;Punch;Ring
Ringen;Sport;Körperkraft;Matte;Griff
Gymnastik;Sport;Bewegung;Dehnung;Übung
Klettern;Sport;Berg;Seil;Höhe
Surfen;Sport;Welle;Meer;Board
Reiten;Sport;Pferd;Sattel;Zaum
Angeln;Hobby;Fisch;Rute;Geduld
Schießen;Sport;Gewehr;Zielscheibe;Ziel
Rudern;Sport;Boot;Wasser;Ruderer
Segeln;Sport;Segel;Boot;Wind
Eishockey;Sport;Eis;Puck;Stock
Volleyball;Sport;Ball;Netz;Teams
Laufen;Leichtathletik;Schnell;Marathon;Ausdauer
Werfen;Leichtathletik;Kraft;Weite;Technik
Hochsprung;Leichtathletik;Höhe;Stab;Salto
Weitsprung;Leichtathletik;Weite;Anlauf;Sandgrube
Hammerwurf;Leichtathletik;Kreis;Kugel;Rotation
Speerwerfen;Leichtathletik;Speer;Weite;Flugbahn
Kugelstoß;Leichtathletik;Kugel;Kreis;Kraft
Hürdenlauf;Leichtathletik;Hindernisse;Schnell;Technik
Staffellauf;Leichtathletik;Staffel;Stab;Team
Steeplechase;Leichtathletik;Wasser;Hürden;Lauf
