Wort;Verboten1;Verboten2;Verboten3;Verboten4
Hund;Tier;Haustier;Bellend;Vierbeinig
Katze;Tier;Haustier;Schnurrend;Pfoten
Vogel;Tier;Fliegt;Federn;Nest
Fisch;Tier;Wasser;Schwimmt;Flossen
Pferd;Tier;Reiten;Hufe;Mähne
Löwe;Tier;König;Mähne;Afrika
Elefant;Tier;Rüssel;Stoßzahn;Groß
Bär;Tier;Braun;Höhle;Grizzly
Affe;Tier;Banane;Baum;Intelligent
Eule;Vogel;Nachts aktiv;Weise;Uhu
Frosch;Tier;Quaken;Seerose;Grün
Schlange;Reptil;Giftig;Zischend;Zunge
Spinne;Tier;Acht Beine;Netz;Insekt
Schildkröte;Tier;Panzer;Langsam;Reptil
Zebra;Tier;Streifen;Pferd;Afrika
Giraffe;Tier;Hals;Afrika;Flecken
Pinguin;Vogel;Antarktis;Schwarz-Weiß;Tuxedo
Krokodil;Tier;Zähne;Sumpf;Gefährlich
Schaf;Tier;Wolle;Baah;Farm
Schwein;Tier;Rosa;Schlamm;Oink
Delphin;Säugetier;Intelligent;Ozean;Flipper
Gorilla;Affe;Stark;Brust;Afrika
Strauß;Vogel;Schnell;Afrika;Flügel
Gürteltier;Tier;Panzer;Rollen;Amerika
Papagei;Vogel;Farbe;Sprechen;Tropisch
Fledermaus;Säugetier;Nacht;Flügel;Echoortung
Hirsch;Tier;Geweih;Reh;Wald
Eichhörnchen;Nager;Baum;Nuss;Schwanz
Flusspferd;Tier;Wasser;Afrika;Dick
Grizzlybär;Bär;Lachs;Amerika;Braun
