Wort;Verboten1;Verboten2;Verboten3;Verboten4
Atom;Partikel;Elektron;Proton;Kern
Molekül;Atome;Chemisch;Wasser;Zusammensetzung
Element;Periodensystem;Gold;Sauerstoff;Blei
Energie;Kraft;Bewegung;Wärme;Strom
Elektrizität;Strom;Blitz;Lampe;Batterie
Magnetismus;Kraft;Magnet;Anzug;Pole
Gravity;Anziehung;Erde;Mond;Newton
Licht;Sichtbar;Schnell;Welle;Sonne
Sound;Welle;Ohr;Musik;Lautstärke
Wärme;Temperatur;Feuer;Sonne;Energie
DNA;Genetik;Doppelhelix;Gen;Leben
Protein;Aminosäure;Enzyme;Muskel;Funktioniert
Enzym;Protein;Katalysator;Chemisch;Reaktion
Virus;Krankheit;Mikroskopisch;COVID;RNA
Bakterium;Mikrobe;Einzellig;Prokaryot;Kleine
Zelle;Leben;Kern;Membran;Organellen
Mitochondrium;Zelle;Energie;ATP;Kraftwerk
Chloroplast;Pflanze;Photosynthese;Grün;Energieumwandlung
Neutron;Partikel;Kern;Neutral;Masse
Photosynthese;Pflanze;Licht;Sauerstoff;Glucose
