Wort;Verboten1;Verboten2;Verboten3;Verboten4
Memento;Film;Amnesia;Rückwärts;Nolan
Mulholland Drive;Film;Hollywood;Identität;David Lynch
Requiem for a Dream;Film;Droge;Sucht;Psychologisch
Come and See;Film;Weltkrieg;Horror;Sowjetisch
Stalker;Film;Raum;Philosophisch;Russisch
The Seventh Seal;Film;Schatten;Mittelalter;Bergman
Tokyo Story;Film;Familie;Alter;Ozu
Rear Window;Film;Voyeurism;Mord;Hitchcock
2001: A Space Odyssey;Film;Weltall;Philosophisch;Kubrick
Rashomon;Film;Perspektive;Wahrheit;Japan
The Good the Bad and the Ugly;Film;Western;Gold;Leone
Singin in the Rain;Film;Musical;Singen;Tanzen
Citizen Kane;Film;Klassiker;Orson Welles;Rosebud
Blade Runner;Film;Sci-Fi;Replikanten;Philosophisch
Synecdoche New York;Film;Metafilm;Theater;Kaufman
The Master;Film;Verfolgung;Religion;Kult
Pans Labyrinth;Film;Fantasy;Spanisch;del Toro
Kagemusha;Film;Japan;Samurai;Kurosawa
Ran;Film;Shakespeare;Lear;Kurosawa
Wings;Film;Sowjet;Trauma;Kriegerin
Battleship Potemkin;Film;Sowjet;Stummfilm;Mutiny
Man with a Movie Camera;Film;Sowjet;Montage;City
October;Film;Sowjet;Revolution;Montage
M;Film;Noir;Mord;Stadt
Nosferatu;Film;Horror;Vampir;Stummfilm
Das Cabinet des Dr. Caligari;Film;Horror;Expressionist;Stummfilm
Metropolis;Film;Sci-Fi;Zukunft;Klassiker
Passion of Joan of Arc;Film;Mittelalter;Heilige;Bergman
Sunrise;Film;Stummfilm;Tragödie;Deutschland
Woman in the Dunes;Film;Japan;Surrealismus;Sand
