Wort;Verboten1;Verboten2;Verboten3;Verboten4
Themistokles;Athenisch;Persische Kriege;Salamis;Antik
Pericles;Athenisch;Goldenes Zeitalter;Parthenon;Demokratie
Leonidas;Spartanisch;Thermopylae;300;Pflicht
Hannibal;Kartago;Elefanten;Punische Kriege;Strategist
Constantine I;Römisch;Kaiser;Christentum;Konstantinopel
Justinian I;Byzantinisch;Kaiser;Kodex;Pest
Mehmed II;Osmanen;Konstantinopel;Eroberer;Kanone
Isabella I;Spanisch;Königin;Columbus;Inquisition
Catherine die Große;Russisch;Kaiserin;Aufklärung;Expansion
Émilie du Châtelet;Französisch;Mathematikerin;Wissenschaftlerin;Voltaire
Mary Wollstonecraft;Britisch;Philosophin;Frauenrechte;Feminismus
Georg Wilhelm Friedrich Hegel;Deutscher;Dialektik;Philosophe;Geist
Arthur Schopenhauer;Deutscher;Pessimismus;Philosophe;Wille
Søren Kierkegaard;Dänisch;Existenzialismus;Philosophe;Angst
Antonio Gramsci;Italienisch;Marxismus;Hegemonie;Kulturtheoretiker
Theodor Adorno;Deutscher;Kritische Theorie;Frankfurter Schule;Kultur
Walter Benjamin;Deutscher;Kulturkritiker;Weimarer Republik;Essays
Hannah Arendt;Deutsche;Totalitarismus;Philosophin;Flüchling
Simone de Beauvoir;Französisch;Existenzialismus;Feminismus;Philosophin
Michel Foucault;Französisch;Macht;Diskurs;Postmodern
