Wort;Verboten1;Verboten2;Verboten3;Verboten4
Karsttopographie;Kalk;Loch;Wasser;Untergrund
Permafrost;Eis;Sibirien;Tauzeit;Methangase
Moraine;Gletscher;Sediment;Eis;Bewegung
Drumlin;Eiszeitlich;Hügel;Richtung;Gletscher
Esker;Gletscher;Kies;Linie;Wasser
Outwash;Gletscher;Sediment;Ebene;Schmelzwasser
Loess;Sediment;Lößboden;Staub;Steppe
Tuff;Vulkan;Asche;Verfestigung;Porig
Feldspat;Mineral;Feldspat;Häufig;Kristall
Obsidian;Vulkan;Glas;Obsidian;Scharf
Magnetit;Mineral;Eisenerz;Magnet;Schwarz
Halit;Mineral;Salz;Kristall;Weiß
Gypsum;Mineral;Gips;Sulfat;Weiß
Schist;Gestein;Schiefer;Glanz;Blätter
Gneiss;Gestein;Metamorphe;Streifen;Quarz
Marmor;Gestein;Metamorphe;Weiß;Skulptur
Tektonisch;Plattentektonik;Kontinente;Erdbeben;Vulkan
Magmatite;Gestein;Magma;Kristall;Abkühlung
Klastisch;Sediment;Fragment;Partikel;Schutt
Allochthon;Tektonik;Bewegung;Nappes;Verschiebung
