Wort;Verboten1;Verboten2;Verboten3;Verboten4
Pentathlon;Olympisch;Fünf Disziplinen;Schießen;Reiten
Triathlon;Drei Disziplinen;Schwimmen;Radfahren;Laufen
Biathlon;Schießen;Langlauf;Winter;Schnee
Trampolinspringen;Olympisch;Höhe;Salto;Elastisch
Rhythmische Gymnastik;Tanz;Ball;Band;Musik
Modernstes Fünfkampf;Schießen;Reiten;Schwimmen;Laufen
Parkour;Bewegung;Urban;Hindernis;Springen
Slackline;Seil;Balance;Spannung;Trick
Orientierungslauf;Karte;Kompass;Wald;Kontrollpunkt
Snowkite;Wind;Schnee;Drache;Board
Eisklettern;Wasserfall;Eis;Eispickel;Adrenalin
Freeskiing;Trickski;Mogul;Halfpipe;Backcountry
Snowboarden;Brett;Berg;Schnee;Halfpipe
Windsurfen;Brett;Segel;Wasser;Wind
Kajakfahren;Boot;Paddel;Wasser;Wildwasser
Canyoning;Wasserfälle;Abseilen;Bach;Felsen
Freeclimbing;Seil;Berg;Natürliche Griffe;Höhe
BASE Jump;Freefall;Fallschirm;Gebäude;Klippe
Speedskating;Rollschuhe;Schnell;Bahn;Athlet
Ultratrail;Laufen;Berg;Ausdauer;Natur
Bossaball;Volley;Trampolin;Viereck;Torwart
Underwater Rugby;Rugby;Unterwasser;Ball;Tor
Hornuss;Schweiz;Ball;Schläger;Weit
Kubb;Schweden;Holz;Würfel;Spiel
Sepak Takraw;Südostasien;Fuß;Netz;Ball
Aussie Rules Football;Australien;Ball;Sprung;Hand
Hurling;Irland;Stick;Ball;schnell
Kabaddi;Asien;Tag;Atem;Team
Shinty;Schottland;Stick;Ball;schnell
Kin Ball;Ball;Riesig;Team;seltsam
