Wort;Verboten1;Verboten2;Verboten3;Verboten4
Quokka;Marsupial;Australien;Lächeln;Klein
Axolotl;Amphibie;Regeneration;Lächeln;Wasser
Aye-Aye;Lemur;Finger;Nachtaktiv;Madagaskar
Kakapo;Papagei;Nachtaktiv;Neuseeland;Flugunfähig
Numbat;Marsupial;Termiten;Australien;Tag
Okapi;Ungulat;Zebra-Hose;Kongo;Versteckt
Quetzal;Vogel;Azteken;Feder;Grün
Wombat;Marsupial;Australien;Würfel Kot;Kurzbeinig
Faultier;Säugetier;Langsam;Südamerika;Baum
Riesenotter;Südamerika;Wasserbewohner;Wasser;Sozial
Nebelparder;Großkatze;Himalaja;Zahn;Schwanz
Pfeilgiftfrosch;Amphibie;Farbe;Tropisch;Giftig
Vaquita;Schweinwal;Pazifik;Gefährdet;Klein
Narwal;Wal;Horn;Arktis;Eis
Komodowaran;Reptil;Rieseneidechse;Indonesien;Raub
Aye Aye Lemur;Primate;Leitfinger;Madagaskar;Baum
Dugong;Seekuh;Meer;Pflanzenfresser;Seegras
Kinkajou;Raubtier;Südamerika;Nacht;Honig
Capybara;Nager;Südamerika;Wasser;Größter
Quell Frosch;Amphibie;Hellgelb;Tropisch;Gift
Mantelmöwe;Seevogel;Strand;Intelligent;Grau-Weiß
Barreleye;Fisch;Transparent;Tiefsee;Kopf
Tarsier;Primate;Große Augen;Südostasien;Nacht
Cassowary;Vogel;Flugunfähig;Australien;Gefährlich
Kiwi Vogel;Vogel;Flugunfähig;Neuseeland;Braun
Quoll;Marsupial;Flecken;Australien;Katze
Dhole;Hundeähnlich;Rot;Asien;Rudel
Okapi Giraffe;Giraffe;Streifen;Kongo;Zunge
Pangolin;Säugetier;Schuppen;Asien;Ameisenfresser
Aye-Aye Lemur;Primate;Finger;Nacht;Baum
