Wort;Verboten1;Verboten2;Verboten3;Verboten4
Oppenheimer;Film;Bombe;Wissenschaftler;2023
Dune;Film;Planet;Sand;Gewürz
Tenet;Film;Zeit;Inversion;Nolan
Dunkirk;Film;Krieg;Evakuation;Beach
Joker;Film;Arthur Fleck;Komiker;Verbrecher
1917;Film;Weltkrieg;Echtzeit;Einstellung
Parasite;Film;Korea;Klasse;Schmarotzer
Crazy Rich Asians;Film;Asien;Reichtum;Liebe
Knives Out;Film;Mord;Detektiv;Familiengeheimnis
Everything Everywhere All At Once;Film;Multiverse;Chaos;Absurd
Past Lives;Film;Korea;Reinkarnation;Zeit
Killers of the Flower Moon;Film;Westlich;Öl;Krimi
Barbie;Film;Puppe;Rosa;Margot Robbie
Moonlight;Film;LGBT;Musik;Identität
La La Land;Film;Musik;Tänzer;Los Angeles
Whiplash;Film;Drums;Musik;Obsession
Get Out;Film;Horror;Rasse;Gehirn
Us;Film;Doppelgänger;Horror;Familie
Hereditary;Film;Horror;Familie;Fluch
Midsommar;Film;Horror;Sommer;Folk
The Lighthouse;Film;Horror;Leuchtturm;zwei Mann
A Quiet Place;Film;Horror;Stille;Monster
Insidious;Film;Horror;Übernatürlich;Astral
The Ring;Film;Horror;Videoband;7 Tage
The Sixth Sense;Film;Horror;Übernatürlich;Geister
Sinister;Film;Horror;Familie;Übernatürlich
Conjuring;Film;Horror;Übernatürlich;Dämonen
Paranormal Activity;Film;Horror;Übernatürlich;Found Footage
The Visit;Film;Horror;Großeltern;Found Footage
Saw;Film;Horror;Thriller;Puzzle
