Wort;Verboten1;Verboten2;Verboten3;Verboten4
Venedig;Italien;Kanäle;Gondel;Lagune
Barcelona;Spanien;Gaudí;Sagrada Familia;Fußball
Budapest;Ungarn;Donau;Bäder;Parlament
Krakau;Polen;Auschwitz;Wawel;Mittelalter
Bukarest;Rumänien;Draculas;Palast;Karpaten
Reykjavik;Island;Geysir;Eis;Natur
Kopenhagen;Dänemark;Kleine Meerjungfrau;Tivoli;Hygge
Stockholm;Schweden;Schären;Wasserwege;Alfred Nobel
Oslo;Norwegen;Fjord;Wikinger;Ski
Dublin;Irland;Guinness;Literatur;Limericks
Edinburgh;Schottland;Burg;Whiskey;Nebel
Vancouver;Kanada;Berg;Hafen;Grün
Mexiko-Stadt;Mexiko;Azteken;Frida;Pyramide
São Paulo;Brasilien;Deutsch;Straße;Megalopolis
Buenos Aires;Argentinien;Tango;Paris;Südamerika
Rio de Janeiro;Brasilien;Karneval;Zucker;Berg
Lima;Peru;Machu Picchu;Anden;Inca
Bogotá;Kolumbien;Höhe;Andinas;Gold
Caracas;Venezuela;Öl;Tropen;Chaos
Kingston;Jamaika;Reggae;Bob Marley;Karibik
