Wort;Verboten1;Verboten2;Verboten3;Verboten4
Robespierre;Französisch;Französische Revolution;Terror;Guillotine
Karl der Große;Frankisch;Kaiser;Mittelalter;Charlemagne
Thomas Jefferson;Amerikanisch;Präsident;Unabhängigkeitserklärung;Virginia
George Washington;Amerikanisch;Präsident;Militär;Revolution
Otto von Bismarck;Preußisch;Kanzler;Einigung;Eisernen
Kaiser Wilhelm II;Deutscher;Krieg;Weltkrieg;Exil
Benito Mussolini;Italienisch;Diktator;Faschismus;Weltkrieg
Joseph Stalin;Sowjetisch;Diktator;Kommunismus;Ausschreitung
Mao Zedong;Chinesisch;Führer;Kultur Revolution;Kommunismus
Ho Chi Minh;Vietnamesisch;Anführer;Kommunismus;Krieg
Fidel Castro;Kubaner;Revolutionär;Kommunismus;Zigarre
Che Guevara;Revolutionär;Argentinisch;Guerilla;Ikone
Leon Trotzki;Sowjetisch;Revolutionär;Eiskammer;Theoretiker
Vladimir Lenin;Sowjetisch;Revolutionär;Kommunismus;Oktober
Karl Marx;Deutscher;Philosoph;Kommunismus;Manifest
Friedrich Engels;Deutscher;Philosoph;Kommunismus;Marx
Rosa Luxemburg;Deutsche;Revolutionärin;Kommunismus;Spartakist
Emmeline Pankhurst;Britisch;Suffragette;Frauenrechte;Militant
Sun Yat-sen;Chinesisch;Revolutionär;Republik;Gründer
Mustafa Kemal Atatürk;Türkisch;Gründer;Moderne Türkei;Reformer
