Wort;Verboten1;Verboten2;Verboten3;Verboten4
Adele;Sängerin;Britisch;Stimme;Grammy
Kanye West;Rapper;Produktion;Ye;Kontrovers
Amy Winehouse;Sängerin;Jazz;Britisch;Tragödie
Florence and the Machine;Band;Dramatisch;Florence Welch;Orchestral
Arctic Monkeys;Band;Alternative Rock;Britisch;Alex Turner
The Strokes;Band;Alternative;Neu Wave;New York
Foo Fighters;Band;Rock;Dave Grohl;Dynamisch
Radiohead;Band;Progressive;Thom Yorke;Experimentell
Coldplay;Band;Pop Rock;Britisch;Chris Martin
Kings of Leon;Band;Rock;Familie;Use Somebody
The Killers;Band;Alternative;Elektro;Las Vegas
MGMT;Band;Synthwave;Psychedelic;New York
Tame Impala;Künstler;Psychedelic;Kevin Parker;Trippy
Mac Miller;Rapper;Pittsburgh;Introspektiv;Tragödie
Tyler The Creator;Rapper;Odd Future;Orange;Produzent
Kendrick Lamar;Rapper;Compton;Lyrik;Pulitzer
J. Cole;Rapper;North Carolina;Deep;Introspektiv
Chance the Rapper;Rapper;Chicago;Unabhängig;Frohe Weihnachten
Nicki Minaj;Rapperin;Königin;Barbz;Trinidad
Cardi B;Rapperin;Bodak Yellow;Dominikanisch;Kultig
Megan Thee Stallion;Rapperin;Texas;Strongfrau;Hips
Dua Lipa;Sängerin;Britisch-Kosovarisch;Disco;Modern
Frank Ocean;Künstler;R&B;Experimentell;Mysteriös
Anderson Paak;Künstler;R&B;Multi-Instrumentalist;Verkörperung
Thundercat;Bassist;Jazz Fusion;Virtuos;Wissenschaft
Vulfpeck;Band;Funk Fusion;Groovy;The Cut
Hiatus Kaiyote;Band;Elektronisch;Jazz;Mysteriös
Glass Animals;Band;Elektronisch;Alternative;Gooey
Purity Ring;Künstler;Synth-Pop;Elektronisch;Ethereal
