Wort;Verboten1;Verboten2;Verboten3;Verboten4
Gletscher;Eis;Berg;Schmelz;Schnee
Sumpf;Wasser;Morastig;Tiere;Schlange
Steppe;Grasland;Pferd;Nomade;Trocken
Savanna;Afrika;Löwe;Giraffe;Grasland
Regenwald;Amazonas;Pflanzen;Tiere;Regen
Geysir;Island;Wasser;Heiß;Fontaine
Vulkan;Lava;Berg;Erupt;Heiß
Schlucht;Tief;Felsen;Wasser;Farbe
Höhle;Dunkel;Stein;Stalaktit;Geheimnis
Insel;Wasser;Einsamkeit;Sand;Palme
Fjord;Norwegen;Wasser;Berg;Gletscher
Korallenriff;Meer;Fische;Farbe;Ökosystem
Moorboden;Organisch;Sauer;Pflanze;Torf
Wetland;Wasser;Vogel;Pflanze;Sumpf
Sediment;Schicht;Stein;Wasser;Zeit
Mineral;Kristall;Erde;Glanz;Diamant
Lava;Vulkan;Heiß;Magma;Gestein
Basalt;Stein;Dunkel;Vulkan;Fest
Granit;Stein;Kristall;Quarz;Orts
Sandstein;Stein;Sand;Erosion;Rot
