Wort;Verboten1;Verboten2;Verboten3;Verboten4
Badminton;Rückschlagspiel;Federspiel;Schläger;Rechteck
Tischtennis;Rückschlagspiel;Paddel;kleine Kugel;Netz
Bogenschießen;Sport;Bogen;Pfeil;Bullseye
Leichtathletik;Spurt;100m Lauf;Stabhochsprung;Olympisch
Gewichtheben;Kraftsport;Gewicht;Langhantel;Olympisch
Fechten;Kampfsport;Degen;Florett;Sabel
Beachvolleyball;Sport;Sand;Ball;Strand
Handball;Sport;Ball;Torwurf;Mannschaft
Kunstlauf;Eissport;Musik;Pirouette;Paar
Curling;Eis;Stein;Besen;Ziel
Bobfahren;Eis;Schlitten;Team;Schnell
Skeletonfahr;Eis;Schlitten;Solo;Kopf
BMX-Fahren;Räder;Tricks;Freestyle;Rampe
Skateboarden;Board;Tricks;Räder;Freestyle
Fallschirmspringen;Adrenalin;Fallschirm;Flugzeug;Himmel
Kitesurfen;Wasser;Lenkdrache;Board;Wind
Langlauf;Schnee;Ski;Ausdauer;Spur
Karate;Kampfsport;Japan;Kick;Konzentration
Taekwondo;Kampfsport;Korea;Kick;Disziplin
Judo;Kampfsport;Japan;Werfen;Matte
Squash;Rückschlagspiel;Wand;Ball;schnell
Racquetball;Sport;Wand;Ball;Schläger
Lacrosse;Sport;Netz;Ball;Stick
Cricket;Sport;Ball;Schlag;Wicket
Baseball;Sport;Schlag;Ball;Home Run
American Football;Sport;Ball;Touchdown;Helm
Rugby;Sport;Ball;Tackle;Versuch
