Wort;Verboten1;Verboten2;Verboten3;Verboten4
Koala;Marsupial;Eukalyptus;Australien;Baum
Jaguar;Großkatze;Flecken;Amerika;Raubkatze
Flamingo;Vogel;Rosa;Salzsee;Bein
Fennec;Fuchs;Ohren;Wüste;Klein
Lama;Südamerika;Wolle;Spucken;Anden
Otter;Säugetier;Wasser;Süß;Verspielt
Schwalbe;Vogel;Zugvogel;Nest;Schnell
Känguru;Marsupial;Sprung;Australien;Beutel
Seelöwe;Säugetier;Wasser;Flossen;Intelligent
Chamäleon;Reptil;Farbe;Zunge;Auge
Luchs;Wildkatze;Pinselohr;Europa;Waldbewohner
Tapir;Säugetier;Rüssel;Amerika;Farben
Waschbär;Spitzbube;Hände;Maske;Nacht
Alligator;Reptil;Amerika;Sumpf;Panzer
Biber;Nager;Bauen;Damm;Holz
Robbe;Säugetier;Wasser;Flossen;Meer
Wildschwein;Tier;Wald;Rüssel;Gefährlich
Antilope;Tier;Horn;Schnell;Afrika
Puma;Raubkatze;Amerika;Sprung;Schlank
Frett;Tier;Röhre;Raubtier;Dünn
Igel;Tier;Stacheln;klein;Insektenfresser
Dachs;Tier;Graben;Bau;Streifen
Fasan;Vogel;Farbe;Schwanz;Jagd
Seeotter;Säugetier;Meer;Stein;Freundlich
Manatee;Seekuh;Meer;Pflanzenfresser;Sanft
Gnu;Antilope;Herde;Afrika;Migration
Nashorn;Tier;Horn;Afrika;Groß
Impala;Antilope;Sprung;Afrika;Schnell
Warzenschwein;Schwein;Afrika;Rückwärts;Hauer
Riesengürteltier;Gürteltier;Australien;Größte;Tier
