Auto;fahren;motor;reifen;straße
Haus;wohnen;dach;tür;fenster
Hund;tier;bellen;haustier;leine
Katze;tier;miau;fell;haustier
Bett;schlafen;decke;kissen;nacht
Stuhl;sitzen;möbel;beine;tisch
Tisch;essen;möbel;beine;stuhl
Lampe;licht;strom;hell;schalter
Uhr;zeit;zeiger;wecker;armband
Schlüssel;öffnen;schloss;tür;metall
Tür;öffnen;schließen;raum;schlüssel
Fenster;glas;licht;öffnen;aussicht
Tasche;tragen;hand;gepäck;reißverschluss
Rucksack;schule;tragen;tasche;bücher
Handy;telefonieren;smartphone;nachricht;app
Fernseher;tv;sendung;bild;film
Kaffee;getränk;tasse;koffein;wach
Tee;heiß;beutel;wasser;getränk
Dusche;waschen;wasser;bad;nass
Seife;hände;sauber;schaum;waschen
Zahnbürste;zähne;putzen;bad;hygiene
Kleidung;anziehen;stoff;mode;tragen
Schuhe;füße;laufen;paar;anziehen
Jacke;warm;kleidung;winter;reißverschluss
Spiegel;glas;reflexion;sehen;bild
Buch;lesen;seiten;autor;geschichte
Zeitung;nachrichten;lesen;papier;artikel
Radio;musik;sender;hören;nachrichten
Computer;pc;tastatur;bildschirm;internet
Laptop;computer;tragbar;akku;arbeit
Kühlschrank;kalt;lebensmittel;kühlen;küche
Herd;kochen;hitze;platte;küche
Pfanne;braten;kochen;griff;herd
Topf;kochen;deckel;wasser;herd
Waschmaschine;wäsche;waschen;trommel;reinigen
Staubsauger;putzen;staub;boden;saugen
Müll;abfall;tonne;wegwerfen;recycling
Brief;umschlag;post;schreiben;papier
Kalender;termine;tage;jahr;planung
Notiz;schreiben;merken;zettel;papier
